Mental disorders: Anxiety disorders: Not otherwise specified (nos)	9413	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental disorders: Anxiety disorders: Obsessive compulsive disorder	9404	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental disorders: Anxiety disorders: Other and unspecified neurosis	9410	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental disorders: Anxiety disorders: Panic disorder and/or agoraphobia	9412	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental disorders: Anxiety disorders: PTSD (established)	9411	PSYCH PTSD Review	PTSD-R	Mental Disorders (PTSD Review)
Mental disorders: Anxiety disorders: PTSD (not yet established)	9411	PSYCH PTSD Initial	PTSD-I	Mental Disorders (PTSD)
Mental disorders: Anxiety disorders: Social phobia	9403	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental disorders: Anxiety disorders: Specific (simple) phobia	9403	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Chronic adjustment disorder	9440	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Anmesia	9300 to 9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Delirium	9300	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Alzheimers type	9312	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Due to head trauma	9304	PSYCH Mental disorders/NEURO TBI Initial or Review	Mental/TBI-I/TBI-R	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Due to infection (HIV infection, syphilis, or other systemic or intracranial infections)	9301	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Due to other neurologic/general medical conditions (endocrine/metabolic disorders, Picks disease, brain tumors, etc.) or substance-induced (drugs, alcohol, poisons)	9326	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Organic mental disorder, other (incl. personality change due to a general medical condition)	9327	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Unknown etiology	9310	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Delirium, dementia, amnestic & cognitive disorders: Dementia: Vascular	9305	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Dissociative disorders: Depersonalization disorder	9417	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Dissociative disorders: Dissociative amnesia ; 9416, §4.130	9316	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Dissociative disorders: Dissociative fugue	9316	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Dissociative disorders: Dissociative identity disorder	9316	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Dissociative disorders: Multiple personality disorder	9316	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Eating disorders: Anorexia nervosa	9520	PSYCH Eating disorders	Eating	Mental Disorders (Eating Disorders)
Mental Disorders: Eating disorders: Bulimia nervosa	9521	PSYCH Eating disorders	Eating	Mental Disorders (Eating Disorders)
Mental Disorders: Mood disorders: Bipolar disorder	9432	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Mood disorders: Cyclothymic disorder	9431	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Mood disorders: Dysthymic disorder	9433	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Mood disorders: Major depressive disorder	9434	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Mood disorders: Not otherwise specified	9435	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Atypical psychosis (psychotic disorder, n.o.s.)	9210	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Catatonic type	9202	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Delusional disorder	9208	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Disorganized type	9201	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Other and unspecified types	9505	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Paranoid type	9203	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Psychotic disorder, n.o.s. (atypical psychosis)	9210	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Residual type	9205	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Schizoaffective disorder	9211	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Schizophrenia and other psychotic disorders: Undifferentiated type	9204	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Somatoform disorders: Conversion disorder	9424	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Somatoform disorders: Hypochondriasis	9425	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Somatoform disorders: Pain disorder	9422	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Somatoform disorders: Somatization disorder	9421	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Mental Disorders: Somatoform disorders: Undifferentiated somatoform disorder	9423	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Meralgia paresthetiva, thigh	8720	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Mesothelioma	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)*
Metastatic brain tumor	8002	NEURO Central nervous system	CNS	Specialist Exams (Neurology)--BACK of worksheet*
Metatarsal, malunion	5283	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Metatarsalgia	5279	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Metatarsalgia, anterior (Morton's disease)	5279	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Metritis	7613	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
MI (myocardial infarction)	7006	CARDIO Heart	Heart	Cardiovascular System (Heart)
Microcytic anemia	7799-7720	HEM Hemic & lymphatic, including leukemia	Hem	Hemic and Lymphatic (Hemic Disorders)
Microscopic hematuria	7599-7502	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Migraine	8100	NEURO Headaches (including migraine headaches	HA	Neurologic (Neurological Disorders, Misc.)
Miliary tuberculosis	6311	INFECT Tuberculosis	TB	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Mitral insufficieny with pulmonary hypertension	7000	CARDIO Heart	Heart	Cardiovascular System (Heart)
Mononucleosis	6899/7399	INFECT Infectious diseases	Infect	Infectious/Immune/Nutrition (Infectious/Immune/Nutrition)
Mood disorders (see Mental disorders)	9431 to 9435	PSYCH Mental disorders	Mental	Mental Disorders (Mental Disorders [except initial PTSD/eating])
Morgagni-Adams-Stokes syndrome	7099-7015	CARDIO Heart	Heart	Cardiovascular System (Arteries, Veins and Misc.)
Morton's disease (Morton's metatarsalgia)	5279	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Morton's neuroma (Morton's metatarsalgia)	5299-5279	MUSC Foot Conditions including flatfoot (pes planus)	FootMisc	Musculoskeletal (Feet)
Motor neuron disease	8099-8018	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Mouth, injuries of	7200	DENTAL Dental & oral (other than TMJ)	Dental	Digestive (Mouth, Lips &Tongue)
Mucormycosis	6839	RESP Respiratory conditions	Resp	Respiratory (Pulmonary TB & Mycobactrial Disease)
Mucous colitis	7319	GI Intestines (other than surgical or infectious)	GI other	Digestive (Intestines [Large and Small])
Multiple lipomata	7819	DERM Skin	Skin	Skin (Skin Disease)
Multiple myeloma	7799-7709	HEM Hemic & Lymphatic, including Leukemia	Hem	Hemic Disorders and Musculoskeletal (Bone Disease/Fractures)
Multiple Myeloma 	7712	HEM Hemic & lymphatic, including leukemia	HEM	Hemic and Lymphatic (Hemic Disorders)
Multiple sclerosis	8018	NEURO Multiple Sclerosis	MS	Neurologic (Brain and Spinal Cord)
Muscle growths, benign, PO	5328	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Muscle growths, malignant	5327	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Muscle hernia, extensive	5326	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Muscle injury, see Injury, muscle.	5301 to 5326	MUSC Muscle injuries	Muscle	Musculoskeletal (Muscles)
Muscular atrophy	8023	NEURO Central nervous system	CNS	Musculoskeletal (Muscles)
Muscular atrophy, progressive	8023	NEURO Central nervous system	CNS	Musculoskeletal (Muscles)
Muscular dystrophy	8099-8023	NEURO Central nervous system	CNS	Neurologic (Neurological Disorders, Misc.); and Musculoskeletal (Muscles)
Myalgia	5099-5021	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Muscles)
Myalgia, back muscles	5299-5237	MUSC Back (thoracolumbar spine)	Back	Musculoskeletal (Muscles)
Myasthenia gravis	8025	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Mycobacterial intracellular infection	6315-6822	RESP Respiratory conditions/INFECT Infectious diseases	Resp/Infect	Respiratory (Pulmonary TB & Mycobactrial Disease)
Mycosis fungoides	7818	DERM Skin	Skin	Skin (Skin Disease)
Mycosis, lung, unspecified	6899-6822	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Myelitis	8010	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Myelodysplastic Syndromes	7725	HEM Hemic & lymphatic, including leukemia	HEM	Hemic and Lymphatic (Hemic Disorders)
Myeloma, multiple	7799-7709	HEM Hemic & Lymphatic, including Leukemia	Hem	Hemic Disorders and Musculoskeletal (Bone Disease/Fractures)
Myelopathy	8099-8010	NEURO Central nervous system	CNS	Neurologic (Brain and Spinal Cord)
Myocardial infarction	7006	CARDIO Heart	Heart	Cardiovascular System (Heart)
Myopia	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Myopic astigmatism	6099	OPTO Eye	Eyes	Organs of Sense (Eye Examination)
Myositis	5021	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Muscles)
Myositis ossificans	5023	MUSC - use DBQ for specific joint(s)	use DBQ for specific joint(s)	Musculoskeletal (Muscles)
Nacator americaus (hookworm)	7399-7324	GI Intestines (infectious)	GI infec	Digestive (Intestines [Large and Small])
Narcolepsy	8108	NEURO Narcolepsy	Narco	Neurologic (Epilepsy & Narcolepsy)
Nasal fracture	6599-6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Nasal polyps	6820 or 6522	ENT Sinusitis, rhinitis & other ENT conditions/RESP Respiratory disorders	Sinus/Resp	Respiratory (Nose, Sinus, Larynx & Pharynx)
Nasal septum, deviation of	6502	ENT Sinusitis, rhinitis & other ENT conditions	Sinus	Respiratory (Nose, Sinus, Larynx & Pharynx)
Neck strain	5237	MUSC Neck (cervical spine)	Neck	Musculoskeletal (Spine)
Necrosis, papillary (renal)	7538	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Neoplasms, benign: Endocrine system	7915	ENDO Thyroid & parathyroid/Endocrine: miscellaneous	Thyroid/Endo	Endocrine (Endocrine Diseases, Misc.)
Neoplasms, benign: Genitourinary system	7529	GU Urinary tract (bladder & urethra)/Kidney (nephrology)/Male reproductive system	Ur tract/Kidney/Male	Special Examinations (Genitourinary)
Neoplasms, benign: Gynecological system 	7628	GYN Gynecological conditions	GYN	Special Examinations (Gynecological/Breasts)
Neoplasms, malignant*: Endocrine system	7614	ENDO Thyroid & parathyroid/Endocrine: miscellaneous	Thyroid/Endo	Endocrine (Endocrine Diseases, Misc.)
Neoplasms, malignant*: Genitourinary system	7528	GU Urinary tract (bladder & urethra)/Kidney (nephrology)/Prostate cancer/Male reproductive system	Ur tract/Kidney/Prostate/Male	Specialist Exams (GU-Renal or Urology)--BACK of worksheet
Neoplasms, malignant*: Gynecological system or breast	7627	GYN Breast conditions and disorders/Gynecological conditions	Breast/GYN	Specialist Exams (GYN-Gynecology/Breasts)--BACK of worksheet
Neoplasms, malignant*: Respiratory system, exclusive of skin growths	6819	RESP Respiratory conditions	Resp	Respiratory (Respiratory Diseases)
Nephracalcinosis	7599-7532	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Nephrectomy	7500	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Nephritis: Chronic	7502	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Nephritis: Interstitial	7537	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Nephrolithiasis	7508	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Nephropathy, toxic	7535	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Nephrosclerosis, arteriolar	7507	GU Kidney (nephrology)	Kidney	Specialist Exams (GU-Renal)--BACK of worksheet
Neuralgia: Cranial nerves: Eleventh (spinal accessory, external branch)	8411	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Facial (Seventh)	8407	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Fifth (trigeminal)	8405	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Glossopharyngeal (Ninth)	8409	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Hypoglossal (Twelfth)	8412	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Ninth (glossopharyngeal)	8409	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Pneumogastric, vagus (Tenth )	8410	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Seventh (facial)	8407	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Spinal accessory, external branch (Eleventh)	8411	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Tenth (pneumogastric, vagus)	8410	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Trigeminal (Fifth)	8405	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Cranial nerves: Twelfth (hypoglossal)	8412	NEURO Cranial nerves	C Nerves	Neurologic (Cranial Nerves)
Neuralgia: Peripheral nerves: All radicular groups	8713	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Anterior crural	8726	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Anterior tibial	8723	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Circumflex	8718	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: External cutaneous, thigh	8729	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: External popliteal	8721	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Ilio-inguinal	8730	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Internal popliteal	8724	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Internal saphenous	8727	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
Neuralgia: Peripheral nerves: Long thoracic	8719	NEURO Peripheral nerves	P Nerves	Neurologic (Peripheral Nerves)
